substance,concentration,replicate,Area,Mean,StdDev
H2O,0,1,18724.496,0.897,0.129
H2O,0,2,5360.279,0.631,0.193
H2O,0,2_1,8131.457,0.771,0.164
BSO H2O,0,1,13934.013,0.93,0.219
BSO H2O,0,2,13067.133,0.861,0.151
BSO H2O,0,3,10836.615,0.346,0.076
H2O2,10,1,9458.048,0.914,0.169
H2O2,10,1_1,6682.593,0.958,0.242
H2O2,10,2,878.261,0.644,0.073
H2O2,10,3,5629.035,1.046,0.258
DTT,2,1,23173.021,0.665,0.109
H2O2 15,10,1_1,525.326,0.698,0.07
H2O2 15,10,2,1863.943,0.925,0.362
H2O2 15,10,2_1,10862.523,1.078,0.189
DTT,2,2,10976.24,0.572,0.107
DTT,2,3,1625.291,0.494,0.068
DTT,2,3_1,9925.184,0.657,0.127
H2O2 old,10,1,12573.686,1.15,0.131
H2O2 old,10,2,11605.436,1.168,0.138
H2O2 old,10,3,1951.753,0.61,0.121
H2O2 old,10,4,15239.217,1.037,0.141
H2O2 old,10,5,1734.084,0.55,0.119
H2O,0,3,920.794,0.642,0.09
H2O,0,4,7773.276,0.698,0.155
H2O,0,4_1,16873.547,0.829,0.175
H2O,0,5,14802.007,0.88,0.166
H,50,1,3247.157,0.934,0.168
H,50,2,790.811,0.539,0.115
H,50,3,1028.338,0.482,0.064
H,50,4,1051.002,0.469,0.061
H,20,1,13890.565,0.83,0.139
H,20,2,1048.89,0.592,0.135
H,20,3,11946.479,0.918,0.187
H,20,4,14888.928,0.809,0.12
C,50,1,19011.621,0.733,0.157
C,50,2,675.784,0.682,0.094
C,50,3,11911.548,0.748,0.104
C,50,2_1,16668.596,0.786,0.16
C,50,4,6698.454,0.873,0.331
C,50,5,22526.687,0.932,0.141
C,20,1,1072.123,0.558,0.113
C,20,2,1590.638,0.637,0.067
C,20,2_1,23915.134,0.881,0.123
C,20,3,7838.651,0.935,0.162
C,20,4,15003.792,0.911,0.234
C,20,5,13627.53,0.834,0.142
R,50,1,1070.011,0.539,0.11
R,50,2,9101.917,0.6,0.201
R,50,3,13655.231,0.782,0.17
R,50,4,9814.824,0.834,0.154
R,20,1,21631.572,0.852,0.131
R,20,2,14028.093,0.901,0.132
R,20,3,7065.63,0.322,0.047
R,20,4,3703.04,0.836,0.178
R,20,4_1,16099.473,0.957,0.23
R,20,5,14002.749,0.778,0.136
DTT,2,4,8256.761,0.547,0.085
DTT,2,5,12583.757,0.618,0.09
DTT,2,6,20382.116,0.648,0.147
DTT,2,7,9648.295,0.491,0.167
DTT,2,8,1755.299,0.584,0.099
DTT,2,9,2842.125,0.365,0.099
DTT,2,9_1,12345.986,0.552,0.221
H2O2,10,4,4760.379,1.055,0.255
H2O2,10,5,2461.545,0.746,0.275
H2O2,10,6,11914.716,1.003,0.165
H2O2,10,7,11043.241,1.111,0.201
H2O2 15,10,5,11130.08,1.09,0.155
H2O2 15,10,7,8442.136,1.152,0.217
H2O,0,6,11572.56,0.439,0.124
H2O,0,7,13031.924,0.47,0.211