substance,concentration,replicate,day0,day7
C,10,1,1.486,1.029
C,10,2,1,0.879
C,10,3,0.355,0.79
C,10,4,0.523,0.071
C,10,5,0.369,0.253
C,10,6,0.349,1.143
C,10,7,0.725,0.888
CTRL,0,1,0.491,1.892
CTRL,0,2,1.417,5.509
CTRL,0,3,0.384,1.698
CTRL,0,4,1.343,6.291
CTRL,0,5,1.802,5.339
CTRL,0,6,1.469,4.649
CTRL,0,7,1.445,5.341
H,10,1,1.345,3.558
H,10,2,1.627,3.016
H,10,3,0.712,2.98
H,10,4,0.257,0.973
H,10,5,1.054,2.629
H,10,6,1.474,2.581
H,10,7,1.723,3.416
R,10,1,0.846,1.964
R,10,2,0.43,1.181
R,10,3,1.039,3.64
R,10,4,1.25,1.463
R,10,5,0.875,2.256
R,10,6,0.514,0.972
R,10,7,0.391,0.926